"","CodAlumno","IdCursoPeriodo","Periodo","SiglaCurso","Seccion","Año","Semestre","NotaFinal","Ranking"
"21",396778,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"4.2",52
"22",401237,"C871F377-3DDE-4D59-92DF-73368A930932",20231,"QIM100E",6,2023,1,"1",69
"23",401297,"AC4F3A2E-0FB7-4AD5-A81A-84F65F88D4C9",20231,"MAT1610",14,2023,1,"3",61
"24",401297,"60527C5D-BC41-4C0F-BD80-D592C862D3E0",20231,"MAT1203",1,2023,1,"3.1",61
"25",401573,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"1",46
"26",406029,"83EF7B70-5F9F-4FA0-B322-22F6E20AA530",20233,"MAT1203",1,2023,3,"4",13
"27",408053,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2.3",33
"28",408053,"2892D0EE-396A-4753-A520-22D4F4225E9A",20241,"MAT1620",6,2024,1,"2.7",34
"29",408159,"BF6B3D24-B053-43B1-9893-3553415075E0",20242,"MAT1620",6,2024,2,NA,1
"30",408161,"C871F377-3DDE-4D59-92DF-73368A930932",20231,"QIM100E",6,2023,1,"5.4",10
"31",408177,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2.1",37
"32",408177,"57B77DDB-A59D-433E-AEC6-F1E19DC0628C",20231,"MAT1203",5,2023,1,"4.2",36
"33",408182,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"3.3",25
"34",408182,"38C9A27C-8505-4FAD-AF3B-4399C984F0A0",20233,"MAT1620",2,2023,3,"6.4",1
"35",408182,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"3.8",71
"36",408243,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"4.2",12
"37",408471,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"2.5",71
"38",408473,"13D7DEB2-B8B4-426E-A96B-15811CC0FB5B",20242,"QIM100E",1,2024,2,NA,1
"39",408473,"4AA6B5D8-9606-4315-B9CD-A3F13D3A1B19",20241,"QIM100E",3,2024,1,"1.7",80
"40",409234,"CAE73D5E-6E11-4B42-A890-6CB60C62B755",20231,"MAT1620",8,2023,1,"4.3",5
"41",409243,"634FD429-F540-4E36-9DDC-0331B4DF651A",20231,"MAT1610",2,2023,1,"3.8",4
"42",409250,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"4.7",35
"43",409250,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"3.8",35
"44",409251,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"3.4",46
"45",409251,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"4.3",64
"46",409270,"278EAF5F-7CD4-41D4-8FCA-2FBCFE71238B",20231,"MAT1620",7,2023,1,"4",7
"47",409270,"60527C5D-BC41-4C0F-BD80-D592C862D3E0",20231,"MAT1203",1,2023,1,"4.5",41
"48",409281,"46EEED83-6167-4F48-AAFA-463E21552DCB",20231,"MAT1620",3,2023,1,"5.3",1
"49",409348,"278EAF5F-7CD4-41D4-8FCA-2FBCFE71238B",20231,"MAT1620",7,2023,1,"3.7",11
"50",409348,"8246F816-0FF0-4EDA-B9D7-889A7EDE7F7D",20232,"MAT1620",13,2023,2,"4",10
"51",409378,"33E5000C-554A-48E9-B435-9069F9380DBE",20232,"MAT1610",7,2023,2,"4.2",8
"52",409378,"81C07BA6-51F6-4639-8507-9600AF431FB8",20241,"MAT1620",2,2024,1,"2.8",46
"53",409378,"9DCAA738-76A6-4659-843B-F9727391F2F4",20242,"MAT1620",5,2024,2,NA,1
"54",409396,"CAE73D5E-6E11-4B42-A890-6CB60C62B755",20231,"MAT1620",8,2023,1,"4.2",6
"55",409465,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"4.3",51
"56",409465,"7D38EC77-CCA9-4B6D-A71E-73008011D878",20231,"MAT1620",4,2023,1,"3.6",14
"57",409508,"2892D0EE-396A-4753-A520-22D4F4225E9A",20241,"MAT1620",6,2024,1,"5.1",1
"58",409508,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"3.8",78
"59",409521,"CAE73D5E-6E11-4B42-A890-6CB60C62B755",20231,"MAT1620",8,2023,1,"2",16
"60",409521,"8246F816-0FF0-4EDA-B9D7-889A7EDE7F7D",20232,"MAT1620",13,2023,2,"1.8",17
"61",409521,"A33554AE-30E1-4B40-A4AF-8F4B1E0E4789",20241,"MAT1620",8,2024,1,"2.9",10
"62",409521,"3EFBD6A3-240D-4A8B-B368-D74E77F139CA",20242,"MAT1620",1,2024,2,NA,1
"63",409523,"46EEED83-6167-4F48-AAFA-463E21552DCB",20231,"MAT1620",3,2023,1,"4.2",3
"64",409545,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"4.3",51
"65",409545,"46EEED83-6167-4F48-AAFA-463E21552DCB",20231,"MAT1620",3,2023,1,"1.7",10
"66",409548,"7D38EC77-CCA9-4B6D-A71E-73008011D878",20231,"MAT1620",4,2023,1,"4",7
"67",409554,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"1.7",45
"68",409554,"48304288-69BD-4A79-9089-E230A3A44622",20231,"MAT1203",9,2023,1,"1.8",51
"69",412860,"63289025-57B3-42F1-8789-2BF2C7A6F113",20232,"QIM100E",1,2023,2,"4.7",66
"70",412860,"79AB7AD9-BFE3-4DF0-A018-32F5CC44D688",20231,"QIM100E",9,2023,1,"1.4",69
"71",412883,"AFBEDEC3-1F35-4642-8D28-1B03EF6212D0",20241,"MAT1610",15,2024,1,"4.1",49
"72",412883,"2D8F38F1-CCC8-4E70-BE33-55FE1F941215",20241,"MAT1203",4,2024,1,"4",37
"73",412883,"14B8BE59-FF71-4FF0-8EC6-5C5B7BA657ED",20231,"MAT1203",4,2023,1,"1.2",61
"74",412883,"F62ADD7C-E1DE-483F-9218-ECF7095E8E2E",20231,"MAT1610",16,2023,1,"2.2",52
"75",412883,"9DCAA738-76A6-4659-843B-F9727391F2F4",20242,"MAT1620",5,2024,2,NA,1
"76",412884,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"3.8",43
"77",412884,"3EFBD6A3-240D-4A8B-B368-D74E77F139CA",20242,"MAT1620",1,2024,2,NA,1
"78",412891,"AFBEDEC3-1F35-4642-8D28-1B03EF6212D0",20241,"MAT1610",15,2024,1,"2.5",61
"79",412891,"63289025-57B3-42F1-8789-2BF2C7A6F113",20232,"QIM100E",1,2023,2,"1.8",98
"80",412891,"67215493-6AE0-4FEC-A01B-522013D93D86",20232,"MAT1610",9,2023,2,"1.9",50
"81",412891,"3A539152-A505-4761-BF7F-CDED26ED8EA6",20241,"QIM100E",10,2024,1,"3.4",100
"82",412894,"2892D0EE-396A-4753-A520-22D4F4225E9A",20241,"MAT1620",6,2024,1,"4.5",12
"83",412894,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"3.2",72
"84",412898,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"2.6",74
"85",412898,"D26A6EEA-5393-43DD-918C-E6890A13F577",20241,"MAT1620",1,2024,1,"2.1",29
"86",412898,"9DCAA738-76A6-4659-843B-F9727391F2F4",20242,"MAT1620",5,2024,2,NA,1
"87",412900,"4B9F6345-4BD4-4BD7-A53D-0149774A0B1F",20241,"MAT1620",5,2024,1,"4",45
"88",412900,"13D7DEB2-B8B4-426E-A96B-15811CC0FB5B",20242,"QIM100E",1,2024,2,NA,1
"89",412904,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2",39
"90",412904,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"4",59
"91",412933,"CAE73D5E-6E11-4B42-A890-6CB60C62B755",20231,"MAT1620",8,2023,1,"2.9",11
"92",412933,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"4.3",64
"93",413010,"A34FF0CA-71E7-41A7-B69A-0B0493D29124",20242,"MAT1610",6,2024,2,NA,1
"94",413097,"2832374B-C04B-4C0C-8DE5-2562F67F7404",20232,"MAT1620",6,2023,2,"5.7",13
"95",413097,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"3.7",27
"96",413097,"918A23EF-467F-48FD-BF93-D50177321D55",20231,"MAT1203",3,2023,1,"4.6",39
"97",413098,"D2A1F680-9A29-424F-9F09-2960EF8C0367",20241,"MAT1203",12,2024,1,"4.5",36
"98",413098,"67215493-6AE0-4FEC-A01B-522013D93D86",20232,"MAT1610",9,2023,2,"5",6
"99",413098,"81C07BA6-51F6-4639-8507-9600AF431FB8",20241,"MAT1620",2,2024,1,"4.1",31
"100",413098,"9AECE77B-0B68-4EE6-97C2-C562AE9C1BE7",20231,"QIM100E",3,2023,1,"4.4",56
"101",413098,"2D56E59D-C869-4A3F-A918-C7DB76D8CECF",20231,"MAT1610",17,2023,1,"3.1",48
"102",413102,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2.3",33
"103",413102,"14B8BE59-FF71-4FF0-8EC6-5C5B7BA657ED",20231,"MAT1203",4,2023,1,"5.3",27
"104",413102,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"4.3",64
"105",413103,"6EE4EC3A-CCAB-46C7-92AA-583FFC7FE2B9",20241,"QIM100E",6,2024,1,"3.5",56
"106",413103,"A99287D6-FA5C-48AC-A5FB-DEEC0A451566",20232,"MAT1620",14,2023,2,"4.4",4
"107",413103,"F62ADD7C-E1DE-483F-9218-ECF7095E8E2E",20231,"MAT1610",16,2023,1,"4.1",36
"108",413112,"AE6DABF6-61B2-4F32-B2E3-3F965AF7EBC1",20233,"MAT1610",3,2023,3,"2.7",43
"109",413112,"33E5000C-554A-48E9-B435-9069F9380DBE",20232,"MAT1610",7,2023,2,"2",20
"110",413113,"8AE14377-5E48-41A9-992A-945F7537AFF8",20231,"MAT1610",3,2023,1,"1.8",10
"111",413113,"DD94251F-8194-408E-93A2-A257F71A53C3",20232,"MAT1610",14,2023,2,"1.6",24
"112",413113,"34E9A164-5F5E-42F4-A216-B77C783AFF3D",20242,"MAT1610",7,2024,2,NA,1
"113",413216,"CAE73D5E-6E11-4B42-A890-6CB60C62B755",20231,"MAT1620",8,2023,1,"3.2",10
"114",413216,"8246F816-0FF0-4EDA-B9D7-889A7EDE7F7D",20232,"MAT1620",13,2023,2,"4.7",5
"115",413240,"13D7DEB2-B8B4-426E-A96B-15811CC0FB5B",20242,"QIM100E",1,2024,2,NA,1
"116",413240,"6BE6413A-2513-421B-A3EF-94B24851C2E5",20241,"QIM100E",2,2024,1,"3.1",81
"117",413240,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"2.5",71
"118",413240,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"4.4",60
"119",413267,"C44B59A9-BAE4-4FBB-A636-124B1EF49F98",20232,"MAT1203",1,2023,2,"3.5",15
"120",413267,"13D7DEB2-B8B4-426E-A96B-15811CC0FB5B",20242,"QIM100E",1,2024,2,NA,1
"121",413267,"2892D0EE-396A-4753-A520-22D4F4225E9A",20241,"MAT1620",6,2024,1,"4.5",12
"122",413267,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"2.1",76
"123",413267,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"1.4",64
"124",413267,"70F1ECBD-54E1-47BC-9FE3-AB434728DCE9",20241,"MAT1203",11,2024,1,"4.1",33
"125",413286,"79AB7AD9-BFE3-4DF0-A018-32F5CC44D688",20231,"QIM100E",9,2023,1,"5",26
"126",413299,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"3.2",32
"127",413299,"29FE73D1-25B3-469B-A18F-A9A9AB3FAED1",20232,"MAT1620",3,2023,2,"4.5",65
"128",413302,"101875A5-984C-40BF-840F-1489F4295074",20231,"QIM100E",10,2023,1,"5.1",17
"129",413302,"2892D0EE-396A-4753-A520-22D4F4225E9A",20241,"MAT1620",6,2024,1,"3.2",30
"130",413302,"FE60BD95-7BEA-4F86-B67F-76EED2212492",20231,"MAT1203",6,2023,1,"4.9",19
"131",413302,"29FE73D1-25B3-469B-A18F-A9A9AB3FAED1",20232,"MAT1620",3,2023,2,"3.7",84
"132",413302,"283947C3-A48F-41BF-B461-B298E91D6DC4",20242,"MAT1620",12,2024,2,NA,1
"133",413302,"2D56E59D-C869-4A3F-A918-C7DB76D8CECF",20231,"MAT1610",17,2023,1,"4.3",33
"134",413311,"C44B59A9-BAE4-4FBB-A636-124B1EF49F98",20232,"MAT1203",1,2023,2,"2.8",18
"135",413311,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"1.7",78
"136",413311,"E3157044-845F-41E3-9222-5090FDC5A164",20242,"MAT1203",4,2024,2,NA,1
"137",413311,"2D636F28-C4C8-4076-A227-C333BC94AF50",20242,"MAT1620",4,2024,2,NA,1
"138",413314,"79AB7AD9-BFE3-4DF0-A018-32F5CC44D688",20231,"QIM100E",9,2023,1,"5",26
"139",413314,"C959283A-4916-45CF-BD70-7C1DE4342A21",20242,"MAT1620",8,2024,2,NA,1
"140",414356,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2.2",36
"141",414356,"2832374B-C04B-4C0C-8DE5-2562F67F7404",20232,"MAT1620",6,2023,2,"3.4",67
"142",414356,"0409B936-B376-47B2-A785-8766712B49E5",20233,"MAT1620",1,2023,3,"4.1",8
"143",417024,"376C8A90-1DD0-4D02-A1FB-3B86CAF57F31",20241,"MAT1610",19,2024,1,"3.9",50
"144",417024,"DD94251F-8194-408E-93A2-A257F71A53C3",20232,"MAT1610",14,2023,2,"3.8",10
"145",417024,"F62ADD7C-E1DE-483F-9218-ECF7095E8E2E",20231,"MAT1610",16,2023,1,"2.7",48
"146",418762,"13D7DEB2-B8B4-426E-A96B-15811CC0FB5B",20242,"QIM100E",1,2024,2,NA,1
"147",418762,"6EE4EC3A-CCAB-46C7-92AA-583FFC7FE2B9",20241,"QIM100E",6,2024,1,"1",71
"148",419325,"0409B936-B376-47B2-A785-8766712B49E5",20233,"MAT1620",1,2023,3,"4.4",5
"149",419325,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"2.5",71
"150",419325,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"2.4",81
"151",419464,"B0C78CC6-BA1F-41B0-94B4-2BA9FC42D386",20232,"MAT1620",16,2023,2,"4",5
"152",419464,"491B468F-6A46-4E3B-B8BA-730BA7A22CDD",20231,"MAT1203",7,2023,1,"4",41
"153",419464,"4E2D61C6-072A-4CF1-A35A-7B2E2F3D19A7",20241,"QIM100E",1,2024,1,"4.4",67
"154",419464,"2D56E59D-C869-4A3F-A918-C7DB76D8CECF",20231,"MAT1610",17,2023,1,"4.5",27
"155",419521,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"3.8",23
"156",419521,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"4.1",60
"157",420041,"8E0F2E27-51BC-40B0-AB2C-320ACB406D1B",20231,"QIM100E",7,2023,1,"4.9",38
"158",421123,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4.7",6
"159",421124,"60527C5D-BC41-4C0F-BD80-D592C862D3E0",20231,"MAT1203",1,2023,1,"2.5",67
"160",421124,"D26A6EEA-5393-43DD-918C-E6890A13F577",20241,"MAT1620",1,2024,1,"1",32
"161",421137,"2832374B-C04B-4C0C-8DE5-2562F67F7404",20232,"MAT1620",6,2023,2,"4",61
"162",421137,"8E0F2E27-51BC-40B0-AB2C-320ACB406D1B",20231,"QIM100E",7,2023,1,"4.6",52
"163",421137,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"3.9",41
"164",421159,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"4.3",46
"165",421159,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"3.6",54
"166",421167,"0AEEF5F8-BA3C-42C1-8901-29ED83BE5AB5",20232,"MAT1620",8,2023,2,"3.2",67
"167",421167,"983A9488-F8B4-44AD-BBD9-C2BFE5BE33DC",20231,"MAT1610",8,2023,1,"4",47
"168",421167,"D26A6EEA-5393-43DD-918C-E6890A13F577",20241,"MAT1620",1,2024,1,"5",3
"169",421168,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"2.8",38
"170",421171,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4",25
"171",421179,"0AEEF5F8-BA3C-42C1-8901-29ED83BE5AB5",20232,"MAT1620",8,2023,2,"4.4",60
"172",421179,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"3.8",43
"173",421199,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"4",19
"174",421209,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"4.1",10
"175",421212,"6FC7B952-C2B8-4607-91E0-5A28BAAFC685",20232,"MAT1620",10,2023,2,"4.5",21
"176",421212,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"3.2",62
"177",421238,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"5.3",1
"178",421258,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"5.1",21
"179",421258,"0D36CB97-5CE4-4BDC-BB3D-E7A539F5F201",20231,"MAT1610",4,2023,1,"5.1",1
"180",421269,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"4.2",28
"181",421272,"0AEEF5F8-BA3C-42C1-8901-29ED83BE5AB5",20232,"MAT1620",8,2023,2,"4.6",51
"182",421272,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"3.6",41
"183",421273,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"5.2",1
"184",421285,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4.3",12
"185",421299,"F54C199D-8DD2-4480-8F0B-1467179EA18A",20232,"MAT1620",2,2023,2,"5",26
"186",421299,"14B8BE59-FF71-4FF0-8EC6-5C5B7BA657ED",20231,"MAT1203",4,2023,1,"6.3",7
"187",421299,"9AECE77B-0B68-4EE6-97C2-C562AE9C1BE7",20231,"QIM100E",3,2023,1,"5",26
"188",421299,"F62ADD7C-E1DE-483F-9218-ECF7095E8E2E",20231,"MAT1610",16,2023,1,"5.5",8
"189",421308,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"5.3",1
"190",421310,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4.1",22
"191",421318,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2.1",37
"192",421318,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"4.8",37
"193",421323,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"1.9",44
"194",421323,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"4.3",56
"195",421325,"7BC78B7B-0DB2-429F-9307-ACD25D0E58DB",20231,"QIM100E",8,2023,1,"4.7",49
"196",421326,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"5.2",3
"197",421330,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"4.1",10
"198",421334,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"3.3",25
"199",421334,"38C9A27C-8505-4FAD-AF3B-4399C984F0A0",20233,"MAT1620",2,2023,3,"5.6",8
"200",421334,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"3.3",70
"201",421337,"A34FF0CA-71E7-41A7-B69A-0B0493D29124",20242,"MAT1610",6,2024,2,NA,1
"202",421337,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"4",35
"203",421342,"67215493-6AE0-4FEC-A01B-522013D93D86",20232,"MAT1610",9,2023,2,"2.8",40
"204",421342,"E156C86F-776F-466C-A364-CBC71BCCB738",20231,"MAT1610",6,2023,1,"3.7",2
"205",421375,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4.2",19
"206",421406,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"3.4",24
"207",421406,"0409B936-B376-47B2-A785-8766712B49E5",20233,"MAT1620",1,2023,3,"4.1",8
"208",421418,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"4.1",14
"209",421425,"2A1AE5C7-C169-495C-9F42-10DEE1E0B62F",20232,"MAT1620",4,2023,2,"6.8",3
"210",421425,"AC4F3A2E-0FB7-4AD5-A81A-84F65F88D4C9",20231,"MAT1610",14,2023,1,"6.2",2
"211",421425,"9AECE77B-0B68-4EE6-97C2-C562AE9C1BE7",20231,"QIM100E",3,2023,1,"5.5",6
"212",421425,"918A23EF-467F-48FD-BF93-D50177321D55",20231,"MAT1203",3,2023,1,"6.4",5
"213",421432,"491B468F-6A46-4E3B-B8BA-730BA7A22CDD",20231,"MAT1203",7,2023,1,"2.2",49
"214",421432,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"2.7",40
"215",421432,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"2.7",73
"216",421432,"A0D85BF2-70C4-42FD-88EA-B855BDBA4465",20232,"MAT1203",2,2023,2,"2.8",31
"217",421441,"81C07BA6-51F6-4639-8507-9600AF431FB8",20241,"MAT1620",2,2024,1,"1.6",54
"218",421441,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"2",43
"219",421441,"D3AE667A-7661-4A13-A9A8-B683F909AE1F",20232,"MAT1620",1,2023,2,"2.6",74
"220",421450,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"4.7",10
"221",421453,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"4.3",23
"222",421455,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"4",16
"223",421460,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4",25
"224",421476,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"4.4",8
"225",421498,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"3.8",24
"226",421498,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"4.1",63
"227",421510,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"4",16
"228",421512,"6A4C4673-D332-41A6-AC99-8E6C5DAE62A4",20231,"MAT1620",1,2023,1,"4",25
"229",421516,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"3.8",24
"230",421516,"E038C2DE-BEEA-498E-A944-DFFF10B3A1BD",20232,"MAT1620",5,2023,2,"4.6",55
"231",421517,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"5",5
"232",421528,"0E91A350-9E15-42D8-9027-15EA168F0AFD",20231,"MAT1620",6,2023,1,"2.3",33
"233",421528,"6FD4DAE1-0EF3-4EDD-89EB-D95EC77B3C66",20232,"MAT1620",7,2023,2,"4",68
"234",421545,"81C07BA6-51F6-4639-8507-9600AF431FB8",20241,"MAT1620",2,2024,1,"4.4",23
"235",421545,"3E9D5473-DE72-4CCA-B8DB-9CBC50FC4F8B",20231,"MAT1203",10,2023,1,"3.7",60
"236",421545,"0B6F5C6C-338B-4451-B5CC-A8FDFA062C42",20231,"MAT1610",1,2023,1,"4.1",8
"237",421545,"92D23B1A-BC6B-4874-881E-A90B11944990",20232,"MAT1203",5,2023,2,"4.8",21
